start_date,end_date,q01,q02,q04_01,q04_02,q04_03,q04_04,q04_05,q04_06,q05,q07_01,q07_02,q07_03,q07_04,q07_05,q07_06,q07_07,q07_08,q07_09,q07_10,q07_11,q08_01,q08_02,q08_03,q08_04,q08_05,q08_06,q08_07,q08_08,q08_09,q08_10,q08_11,q08_12,q10_01,q10_02,q10_03,q10_04,q10_05,q10_06,q10_07,q10_08,q11_01,q11_02,q11_03,q11_04,q11_05,q12_01,q12_02,q12_03,q12_04,q12_05,q12_06,q12_07,q13,q14,q15,q17,q18,q19_01,q19_02,q19_03,q19_04,q19_05,q19_06,q19_07,q20_01,q20_02,q20_03,q20_04,q20_05,q20_06,q21_01,q21_02,q21_03,q21_04,q22,q24,q25_01,q25_02,q25_03,q26,q28,q29,q30,q34,q35,q36,racethn4,educ4,age3,has_children,orientation,weight,is_employed,employment_status
2018-05-11 10:15:00,2018-05-11 10:19:00,0.3333333333333333,0.6666666666666666,True,True,True,True,True,False,False,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.75,1.0,0.5,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,0.5,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,Divorced,False,False,True,Straight,Black,Some college,Oregon,"$10,000-$24,999",Pacific,Other,Black,Some college,65 and up,False,Straight,0.8699910959999999,False,retired
2018-05-11 10:45:00,2018-05-11 10:50:00,0.6666666666666666,0.6666666666666666,False,False,True,False,True,False,True,0.25,0.5,0.25,0.25,0.5,1.0,1.0,0.0,0.0,0.5,0.5,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,You weren't sure it was sexual harassment,1.0,False,True,0.75,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,True,False,Married,True,False,False,Straight,White,Post graduate degree,Utah,Prefer not to answer,Mountain,Windows Desktop / Laptop,White,Post graduate degree,35 - 64,True,Straight,0.019744451,True,working full-time
2018-05-11 10:56:00,2018-05-11 11:00:00,0.6666666666666666,0.3333333333333333,True,False,False,False,False,False,False,0.25,0.25,0.75,0.5,1.0,0.0,1.0,0.25,0.25,0.75,0.25,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,,0.6666666666666666,True,True,0.5,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,Married,False,True,False,Straight,White,College graduate,Kansas,"$125,000-$149,999",West North Central,MacOS Desktop / Laptop,White,College or more,35 - 64,True,Straight,0.695610733,True,working full-time
2018-05-11 12:36:00,2018-05-11 12:42:00,1.0,0.6666666666666666,True,False,False,False,False,False,False,0.0,0.0,0.25,0.0,0.5,0.0,1.0,0.25,0.25,1.0,0.25,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,,1.0,True,False,0.5,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,Married,False,True,False,Straight,White,College graduate,Texas,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,White,College or more,35 - 64,True,Straight,0.515567485,True,working full-time
2018-05-11 01:09:00,2018-05-11 01:16:00,1.0,0.3333333333333333,True,False,False,False,False,False,False,0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.0,0.25,0.75,0.25,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.75,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,Married,False,False,True,Straight,White,Post graduate degree,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,Post graduate degree,65 and up,False,Straight,0.059086640999999995,False,retired
2018-05-11 01:18:00,2018-05-11 01:27:00,0.6666666666666666,0.3333333333333333,False,True,True,False,True,False,True,0.75,0.75,1.0,0.25,1.0,,1.0,0.25,0.5,1.0,0.25,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,,1.0,True,True,1.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,Married,False,True,False,Straight,White,Post graduate degree,New Jersey,"$200,000+",Middle Atlantic,Windows Desktop / Laptop,White,Post graduate degree,65 and up,True,Straight,0.06942877,True,working full-time
2018-05-11 01:20:00,2018-05-11 01:25:00,0.3333333333333333,0.6666666666666666,False,False,True,False,False,True,True,0.25,0.25,0.25,0.5,0.5,0.0,1.0,0.0,0.0,0.75,0.5,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,1.0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,Married,False,True,False,Straight,White,College graduate,Texas,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,White,College or more,65 and up,True,Straight,0.484545451,False,retired
2018-05-11 01:48:00,2018-05-11 01:53:00,0.0,0.0,False,False,True,False,True,False,True,0.25,0.0,0.25,0.25,1.0,1.0,1.0,0.25,0.0,0.25,0.25,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,Widowed,False,True,False,Straight,White,Some college,Texas,"$10,000-$24,999",West South Central,Windows Desktop / Laptop,White,Some college,65 and up,True,Straight,0.600430108,False,not looking for work
2018-05-11 02:22:00,2018-05-11 02:28:00,1.0,0.6666666666666666,False,False,False,False,True,True,True,0.5,0.5,0.5,0.5,0.75,0.0,1.0,0.5,0.0,1.0,0.25,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,1.0,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,Married,False,True,False,Straight,White,Post graduate degree,New York,"$150,000-$174,999",Middle Atlantic,MacOS Desktop / Laptop,White,Post graduate degree,65 and up,True,Straight,0.069031279,False,retired
2018-05-11 02:29:00,2018-05-11 02:33:00,0.3333333333333333,0.6666666666666666,True,True,False,False,False,False,False,0.25,0.25,0.5,0.25,0.5,0.5,1.0,0.25,0.0,1.0,0.25,False,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,0.75,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,Married,False,False,True,Straight,White,Post graduate degree,Utah,"$100,000-$124,999",Mountain,Windows Desktop / Laptop,White,Post graduate degree,65 and up,False,Straight,0.019744451,False,retired
2018-05-11 02:37:00,2018-05-11 02:42:00,0.6666666666666666,0.6666666666666666,True,False,False,False,True,False,False,0.75,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,,0.6666666666666666,False,True,1.0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,Married,True,True,False,Straight,White,Some college,Texas,"$75,000-$99,999",West South Central,Windows Desktop / Laptop,White,Some college,35 - 64,True,Straight,0.6205287420000001,True,working full-time
2018-05-11 02:39:00,2018-05-11 02:47:00,0.6666666666666666,0.6666666666666666,False,False,False,False,True,False,True,0.0,0.5,0.0,0.25,0.5,0.5,1.0,0.25,0.0,1.0,0.25,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,0.5,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,Never married,False,False,True,Straight,Other,High school or G.E.D.,Pennsylvania,"$0-$9,999",Middle Atlantic,Android Phone / Tablet,Other,High school or less,18 - 34,False,Straight,5.928646721000001,False,looking for work
2018-05-11 02:49:00,2018-05-11 02:58:00,0.3333333333333333,0.3333333333333333,True,False,False,False,False,False,False,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,0.5,1.0,0.25,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,Never married,False,True,False,Straight,White,Did not complete high school,California,Prefer not to answer,Pacific,Android Phone / Tablet,White,High school or less,35 - 64,True,Straight,2.05030667,False,retired
2018-05-11 02:51:00,2018-05-11 02:56:00,0.6666666666666666,0.6666666666666666,False,False,False,False,False,True,True,0.75,0.5,0.0,0.25,0.5,0.5,1.0,0.5,0.0,0.5,0.25,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.75,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,Never married,False,False,True,Straight,White,Post graduate degree,Washington,"$75,000-$99,999",Pacific,Windows Desktop / Laptop,White,Post graduate degree,65 and up,False,Straight,0.019744451,False,retired
2018-05-11 03:07:00,2018-05-11 03:14:00,1.0,0.6666666666666666,True,True,True,False,True,False,False,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.25,1.0,0.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,,1.0,False,True,1.0,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,Married,False,True,False,Straight,White,College graduate,South Dakota,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,True,Straight,0.8445780209999999,True,working full-time
2018-05-11 03:17:00,2018-05-11 03:28:00,0.6666666666666666,0.6666666666666666,True,True,True,True,True,False,True,0.5,0.5,0.25,0.5,0.75,0.5,1.0,0.0,0.5,0.75,0.25,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,,0.6666666666666666,False,False,0.75,True,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,True,False,Widowed,False,True,False,Straight,White,High school or G.E.D.,Minnesota,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,White,High school or less,35 - 64,True,Straight,2.193249238,True,working full-time
2018-05-11 03:38:00,2018-05-11 03:49:00,0.6666666666666666,0.3333333333333333,True,False,True,False,True,False,False,0.5,0.5,0.25,0.5,1.0,0.5,0.75,1.0,0.75,0.75,0.25,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,0.6666666666666666,False,False,0.5,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,Widowed,False,True,False,Straight,White,Some college,Washington,"$75,000-$99,999",Pacific,Windows Desktop / Laptop,White,Some college,35 - 64,True,Straight,0.49093909,True,working part-time
2018-05-11 03:38:00,2018-05-11 03:46:00,1.0,0.3333333333333333,True,True,False,False,False,True,False,0.25,0.5,0.5,0.5,1.0,0.25,1.0,0.0,0.0,1.0,0.5,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,1.0,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,Married,False,True,False,Straight,White,College graduate,Arizona,"$200,000+",Mountain,MacOS Desktop / Laptop,White,College or more,65 and up,True,Straight,0.408203209,False,retired
2018-05-11 03:41:00,2018-05-11 03:47:00,0.3333333333333333,0.3333333333333333,True,False,False,False,False,False,True,0.25,0.5,0.25,0.25,1.0,1.0,1.0,0.0,0.25,0.25,0.0,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.0,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,Married,True,True,False,Straight,Asian,High school or G.E.D.,South Carolina,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet,Other,High school or less,35 - 64,True,Straight,1.8146813000000002,False,not looking for work
